,fluxes
R00511,0.0
R00509,0.0
R00508,0.0
R00497,0.0
R00494,-1.0938950570358691e-05
R00489,1.5911178266942746e-05
R00483,0.008901315081245932
R00481,0.0
R00480,0.0689207432809184
R00475,0.0
R00473,0.0
R00470,0.0
R00451,0.018699835070304607
R00430,-0.014494793019503708
R00429,0.0
R00428,0.0
R00426,-0.005623284499977201
R00425,3.2816851711076075e-05
R00424,0.0
R00418,0.0
R00416,0.005472577653463622
R00405,0.0
R00401,0.0
R00396,0.0
R00372,-0.03599802014977312
R00369,0.0
R00357,0.0
R00355,-0.16054115467859442
R00351,-0.10355791951037221
R00342,0.0
R00336,0.0
R00332,0.0
R00330,0.0
R00317,0.0
R00316,0.0
R00315,0.0
R00310,0.0
R00299,0.0
R00294,0.0
R00291,0.0
R00289,0.0
R00287,0.0
R00286,0.0
R00274,0.0
R00271,0.0
R00260,0.007911039124904897
R00259,0.0
R00257,0.0
R00256,0.0
R00253,0.0
R00248,-3.784437716044209
R00243,3.3236139215772864
R00239,0.029695869217093985
R00236,0.0
R00235,0.0
R00226,0.0
R00220,-0.058952629723609436
R00217,0.0
R00214,0.07632959410958076
R00209,0.223267151513218
R00206,0.0
R00200,0.0
R00194,0.0
R00192,0.0016938930832149307
R00190,0.0
R00185,0.0016938930832149307
R00183,0.0
R00178,0.0
R00177,0.0017048320337852893
R00161,1.0938950570358691e-05
R00158,0.01275693838494469
R00156,0.0
R00149,0.0251304240499528
R00148,0.0
R00139,0.0
R00137,0.0002983311799001155
R00132,0.0
R00130,1.5911178266942746e-05
R00127,0.08482594812385966
R00125,0.0
R00114,0.0
R00112,0.0
R00104,9.944455393157595e-05
R00093,0.05356020634627223
R00087,0.0
R00086,0.0
