Kegg_ID	ModelSeed_ID	formula	charge
C11689	cpd08500	C23H35NOS	0
C11690	cpd08501	C11H14ClN2	1
C11691	cpd08502	C21H27N2O3	1
C11692	cpd08503	C11H18N3O8	1
C11694	cpd08504	C21H14FN3O2	0
C11695	cpd08505	C22H37NO2	0
C11696	cpd08506	C14H23N2O3	1
C11697	cpd08507	C16H18N2O3	0
C11698	cpd08508	C16H25FNO	1
C11699	cpd08509	C27H26FNO3	0
C11700	cpd08510	C29H36O10	0
C11701	cpd08511	C13H12Cl2N6O	0
C11702	cpd08512	C13H7Cl2O4S	-1
C11703	cpd08513	C11H18NO3	1
C11704	cpd08514	C17H12BrFO2S2	0
C11705	cpd08515	C17H12F4N2O2S	0
C11706	cpd08516	C18H17FO2S	0
C11707	cpd08517	C15H20NO	1
C11708	cpd08518	C17H27N2O4S	1
C11709	cpd08519	C19H27N2O3S	1
C11710	cpd08520	C25H20N4O2	0
C11711	cpd08521	C9H11NO5	-2
C11712	cpd08522	C53H76N14O12	0
C11713	cpd08523	C10H8O	0
C11714	cpd08524	C10H8O	0
C11715	cpd08525	C20H25N2OS	1
C11716	cpd08526	C13H22ClN2	1
C11717	cpd08527	C21H36N4O5S	0
C11718	cpd08528	C18H15ClN2O2S	0
C11719	cpd08529	C17H13ClN2O2S	0
C11720	cpd08530	C18H23N2O5	-1
C11721	cpd08531	C20H31NO7	-2
C11723	cpd08532	C12H16N2O3	0
C11724	cpd08533	C45H44Cl2N10O6	0
C11725	cpd08534	C22H29ClN4O3	2
C11726	cpd08535	C27H42Cl2N2O6	0
C11727	cpd08536	C15H15Cl2N2O8	-1
C11728	cpd08537	C18H33ClN2O8PS	-1
C11729	cpd08538	C19H22N3O4S	-1
C11730	cpd08539	C44H32N4O4	0
C11731	cpd08540	C7H6ClNO	0
C11732	cpd08541	C10H15O4P	0
C11733	cpd08542	C16H38N2	2
C11734	cpd08543	C22H22FN3O2S	0
C11735	cpd08544	C4H9NO2	0
C11736	cpd08545	C9H11FN2O5	0
C11737	cpd08546	C24H21N5O6	-2
C11738	cpd08547	C10H14ClN2	1
C11739	cpd08548	C15H14N4O	0
C11740	cpd08549	C17H16N4O	0
C11741	cpd08550	C16H14F3N3OS	0
C11742	cpd08551	C22H17F4N3O2	0
C11743	cpd08552	C22H19F3N4O2	0
C11744	cpd08553	C12H12As2Cl2N2O2	-2
C11745	cpd08554	C13H11N3O5S2	-2
C11748	cpd08555	C19H16ClFN3O5S	-1
C11749	cpd08556	C16H18N3O4S	-1
C11750	cpd08557	C22H30N3O6S	1
C11751	cpd08558	C24H24N3O6S	1
C11752	cpd08559	C23H21N2O6S	-1
C11754	cpd08560	C19H17N3O4S2	0
C11755	cpd08561	C13H14N2O8S2	-2
C11757	cpd08562	C7H10N2O4R	-1
C11758	cpd08563	C26H43O9	-1
C11760	cpd08564	C18H30NO3	1
C11761	cpd08565	C21H36BrNO	0
C11762	cpd08566	C23H30ClNO3	0
C11763	cpd08567	C12H19N2O2	1
C11764	cpd08568	C4H10FO2P	0
C11765	cpd08569	C7H10N2O	0
C11766	cpd08570	C14H23N2O2	1
C11767	cpd08571	C14H23N3OS	0
C11768	cpd08572	C9H14NO3	1
C11769	cpd08573	C12H21N2O4S	1
C11770	cpd08574	C13H22NO3	1
C11771	cpd08575	C19H26NO4	1
C11772	cpd08576	C11H16Cl2NO	1
C11773	cpd08577	C20H24N3O4	1
C11774	cpd08578	C17H24N3O4	1
C11775	cpd08579	C16H26N3O5	1
C11776	cpd08580	C9H14NO	1
C11777	cpd08581	C9H13N3O	0
C11778	cpd08582	C19H22NO4	1
C11779	cpd08583	C18H22NO3	1
C11780	cpd08584	C19H24NO3	1
C11781	cpd08585	C19H22NO4	1
C11782	cpd08586	C17H22NO3	1
C11783	cpd08587	C21H27N2O3	1
C11784	cpd08588	C23H29N2O4	1
C11785	cpd08589	C16H18NO3	1
C11786	cpd08590	C17H19NO4	0
C11787	cpd08591	C19H22NO3	1
C11788	cpd08592	C17H24N	1
C11789	cpd08593	C15H22NO	1
C11790	cpd08594	C22H28NO	1
C11791	cpd08595	C20H30NO2	1
C11792	cpd08596	C15H22NO2	1
C11793	cpd08597	C25H34NO4	1
C11794	cpd08598	C26H36NO4	1
C11795	cpd08599	C19H26NO2	1
C11796	cpd08600	C19H27Cl2N2O	1
C11797	cpd08601	C22H20FN3OS	0
C11798	cpd08602	C17H24N3O	1
C11799	cpd08603	C8H14N4S	0
C11800	cpd08604	C8H14N4S2	0
C11801	cpd08605	C10H19N4S	1
C11802	cpd08606	C8H14N4OS	0
C11803	cpd08607	C19H22N5O3S	1
C11804	cpd08608	C18H29N6O	1
C11805	cpd08609	C19H30N5O2	1
