pw_ID	pw_name	KO	EC	Reaction
map01100	Metabolic pathways	['K24390']	[]	['R10877']
map01100	Metabolic pathways	['K24390']	[]	['R10878']
map01100	Metabolic pathways	['K24528', 'K24559', 'K24560', 'K24561', 'K24562']	[]	['R12660']
map01100	Metabolic pathways	['K24528', 'K24559', 'K24560', 'K24561', 'K24562']	[]	['R12660']
map01100	Metabolic pathways	['K16007', 'K24565', 'K24566']	[]	['R06453']
map01100	Metabolic pathways	['K16007', 'K24565', 'K24566']	[]	['R06453']
map01100	Metabolic pathways	['K04122', 'K21292']	[' 1.14.14.86']	['R06291']
map01100	Metabolic pathways	['K05282']	[]	['R06323']
map01100	Metabolic pathways	['K05282']	[' 1.14.11.12']	['R06326']
map01100	Metabolic pathways	['K05282']	[' 1.14.11.12']	['R06322']
map01100	Metabolic pathways	['K04123']	[' 1.14.14.107']	['R06297']
map01100	Metabolic pathways	['K04122', 'K21292']	[' 1.14.14.86']	['R06292']
map01100	Metabolic pathways	['K04122', 'K21292']	[' 1.14.14.86']	['R06293']
map01100	Metabolic pathways	['K04123', 'K12917']	[' 1.14.14.107']	['R06294']
map01100	Metabolic pathways	['K04123', 'K12917']	[' 1.14.14.107']	['R06295']
map01100	Metabolic pathways	['K12917']	[]	['R06341']
map01100	Metabolic pathways	['K12917']	[]	['R06339']
