ko	rxn	ModelSeed_ID
K00171	R10866	
K00172	R00209	rxn00154
K00172	R00212	rxn00157
K00172	R01196	rxn13974
K00172	R10866	
K00189	R00209	rxn00154
K00189	R00212	rxn00157
K00189	R01196	rxn13974
K00189	R10866	
K00656	R00209	rxn00154
K00656	R00212	rxn00157
K00656	R01196	rxn13974
K00656	R10866	
K03737	R00209	rxn00154
K03737	R00212	rxn00157
K03737	R01196	rxn13974
K03737	R10866	
K00174	R00209	rxn00154
K00174	R00212	rxn00157
K00174	R01196	rxn13974
K00174	R10866	
K00175	R00209	rxn00154
K00175	R00212	rxn00157
K00175	R01196	rxn13974
K00175	R10866	
K20736	R11320	
K00719	R11321	
K00722	R11322	
K09905	R07628	rxn39844
K00681	R01262	rxn05952
K18592	R01262	rxn05952
K00682	R03749	rxn06472
K22596	R03749	rxn06472
K00682	R02743	rxn01981
K22596	R02743	rxn01981
K07232	R11861	
K21619	R11624	
K03391	R03982	rxn06545
K05363	R08779	rxn13996
K12554	R08780	rxn14219
K05934	R11580	
K13541	R11580	
K21479	R11580	
K03181	R01302	rxn00966
K18240	R01302	rxn00966
K13057	R08946	rxn13954
K00975	R00948	rxn00695
K00975	R00951	rxn00697
K18447	R00948	rxn00695
K18447	R00951	rxn00697
K12047	R00801	rxn00575
K01187	R00801	rxn00575
K12316	R00801	rxn00575
K12317	R00801	rxn00575
K01193	R00801	rxn00575
K01203	R00801	rxn00575
K00510	R00311	rxn05808
K00510	R11579	
K21418	R00311	rxn05808
K21418	R11579	
K21480	R00311	rxn05808
K21480	R11579	
K00214	R02391	rxn01722
K00214	R02393	rxn01723
K00214	R12481	
K05901	R02391	rxn01722
K05901	R02393	rxn01723
K05901	R12481	
K23825	R02391	rxn01722
K23825	R02393	rxn01723
K23825	R12481	
K01195	R04979	rxn14254
K02257	R07411	rxn05120
K02259	R07412	rxn05121
K00798	R01492	rxn01084
K19221	R01492	rxn01084
K04032	R01492	rxn01084
K00231	R04178	rxn11593
K01772	R11329	
K00435	R11522	
K00435	R12002	
K25033	R11522	
K25033	R12002	
K22227	R11522	
K22227	R12002	
K00968	R02590	rxn01885
K00994	R04922	rxn06812
K13644	R04922	rxn06812
K03479	R05911	rxn39524
K21052	R12244	
K09661	R07621	rxn39839
K18207	R11407	
K09654	R12292	
K17547	R12293	
K19873	R12295	
K21032	R12296	
K09668	R12297	
K09668	R12298	
K09666	R07619	rxn39837
K21680	R01524	rxn01112
K21680	R01525	rxn01113
K05352	R01524	rxn01112
K05352	R01525	rxn01113
K21681	R01524	rxn01112
K21681	R01525	rxn01113
K01988	R11376	
K00719	R11379	
K01988	R11377	
K01988	R11375	
K00719	R11378	
K20895	R11313	
K20896	R11313	
K03707	R09993	rxn16839
K00877	R09993	rxn16839
K20896	R09993	rxn16839
K22911	R09993	rxn16839
K16146	R09945	rxn16790
K16147	R09994	rxn16840
K00965	R00955	rxn00701
K01784	R00291	rxn00214
K17716	R00291	rxn00214
K06044	R01824	rxn06051
K01236	R11256	
K01176	R11262	
K07405	R11262	
K05343	R11262	
K01177	R11262	
K05992	R11262	
K01208	R11262	
K01214	R11261	
K00702	R00952	rxn15097
K00753	R09318	rxn39949
K00717	R09319	rxn39950
K14434	R09320	rxn39951
K14459	R09323	rxn39952
K14464	R09324	rxn39953
K00753	R11318	
K20730	R11317	
K01217	R07813	rxn39869
K01136	R07812	rxn39868
K09828	R11096	
K09832	R11097	
K06131	R07390	rxn07267
K06131	R11062	
K06132	R07390	rxn07267
K06132	R11062	
K19744	R11031	
K19744	R11032	
K00824	R02923	rxn02091
K00824	R02924	rxn06281
K00824	R11018	
K00273	R02923	rxn02091
K00273	R02924	rxn06281
K00273	R11018	
K19746	R02923	rxn02091
K19746	R02924	rxn06281
K19746	R11018	
K13788	R00921	rxn00670
K00625	R00921	rxn00670
K15024	R00921	rxn00670
K13923	R00921	rxn00670
K01574	R01366	rxn00995
K00925	R01353	rxn00985
K00932	R01353	rxn00985
K19697	R01353	rxn00985
K01739	R00999	rxn00740
K11204	R10993	
K11205	R10993	
K01919	R10993	
K21456	R10994	
K01920	R10994	
K12960	R09660	rxn16503
K19696	R09668	rxn16511
K00844	R01961	rxn01439
K18676	R01961	rxn01439
K15855	R01966	rxn15289
K01233	R02833	rxn06260
K01452	R02333	
K01183	R02334	rxn06152
K20547	R02334	rxn06152
K13381	R02334	rxn06152
K01207	R00022	rxn00016
K12373	R00022	rxn00016
K00884	R01201	rxn00892
K01836	R08193	rxn01505
K00992	R11025	
K07102	R11024	
K11182	R01151	rxn00852
K11182	R01155	rxn00856
K11182	R08714	rxn14077
K09251	R01151	rxn00852
K09251	R01155	rxn00856
K09251	R08714	rxn14077
K12256	R01151	rxn00852
K12256	R01155	rxn00856
K12256	R08714	rxn14077
K03343	R01151	rxn00852
K03343	R01155	rxn00856
K03343	R08714	rxn14077
K13746	R09079	rxn15947
K09473	R07419	rxn05128
K00128	R01986	rxn01459
K00128	R02549	rxn01851
K14085	R01986	rxn01459
K14085	R02549	rxn01851
K00149	R01986	rxn01459
K00149	R02549	rxn01851
K00137	R01986	rxn01459
K00137	R02549	rxn01851
K12254	R01986	rxn01459
K12254	R02549	rxn01851
K01580	R00261	rxn00194
K05526	R00411	rxn00291
K06041	R01530	rxn01117
K13035	R00486	rxn00343
K13034	R03524	rxn02516
K03715	R02691	rxn06220
K19002	R10850	
K01837	R01662	rxn01216
K01837	R01516	rxn01104
K03103	R09532	rxn16373
K04487	R07460	rxn07292
K10760	R08051	rxn07841
K01071	R08158	rxn08433
K10781	R08158	rxn08433
K01071	R04014	rxn06556
K10781	R04014	rxn06556
K00665	R08159	rxn08434
K10781	R08159	rxn08434
K01071	R08157	rxn08438
K10781	R08157	rxn08438
K00101	R00196	rxn00145
K00101	R00703	rxn00499
K00101	R01447	rxn01054
K00101	R13050	
K00016	R00196	rxn00145
K00016	R00703	rxn00499
K00016	R01447	rxn01054
K00016	R13050	
K26113	R00196	rxn00145
K26113	R00703	rxn00499
K26113	R01447	rxn01054
K26113	R13050	
K26114	R00196	rxn00145
K26114	R00703	rxn00499
K26114	R01447	rxn01054
K26114	R13050	
K26115	R00196	rxn00145
K26115	R00703	rxn00499
K26115	R01447	rxn01054
K26115	R13050	
K00648	R10707	rxn08766
K18473	R10707	rxn08766
K00668	R10700	rxn05458
K11533	R10700	rxn05458
K07437	R08392	rxn11902
K12664	R08392	rxn11902
K12665	R08392	rxn11902
K07408	R08392	rxn11902
K07409	R08392	rxn11902
K17683	R08392	rxn11902
K07411	R08392	rxn11902
K17709	R08392	rxn11902
K07412	R08392	rxn11902
K17718	R08392	rxn11902
K17719	R08392	rxn11902
K17720	R08392	rxn11902
K07413	R08392	rxn11902
K07420	R08392	rxn11902
K17689	R08392	rxn11902
K17690	R08392	rxn11902
K17691	R08392	rxn11902
K07424	R08392	rxn11902
K07423	R08392	rxn11902
K10717	R08053	rxn15712
K13064	R00737	rxn00530
K10774	R00737	rxn00530
